Year (yyyy),Month (MON),Vessel,Contributor,Subarea,Survey name,Density estimate (g m-2),CV of density estimate (%),CV estimation method,Survey area (km2),Echosounder model,Frequency used for biomass estimate (kHz),Other frequencies available,Method used for target identification,dB-difference window,TS model used,Depth range integrated (m),Time of day sampled ,Stratum name,Survey design description,Reference,Note,empty1,sourceexl,Net,Tow design,ASAM_NOTES
1996,Dec,RRS James Clark Ross,UK,48.3,POETS-WCB JR17,31.7,26,Jolly and Hampton,8000,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,See map,,GBR,,,
1996,Dec,RRS James Clark Ross,UK,48.3,ECB JR17,96.3,14.3,Jolly and Hampton,8000,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,ECB,Parallel transects,,,,GBR,,,
1998,Jan,RRS James Clark Ross,UK,48.3,POETS-WCB JR28,38.9,28,Jolly and Hampton,8000,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,,,GBR,,,
1998,Jan,RRS James Clark Ross,UK,48.3,ECB JR28,427.4,20.1,Jolly and Hampton,8000,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,ECB,Parallel transects,,,,GBR,,,
1999,Jan,RRS James Clark Ross,UK,48.3,POETS-WCB JR38,9.7,19.8,Jolly and Hampton,8000,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,,,GBR,,,
1998,Dec,RRS James Clark Ross,UK,48.3,ECB JR38,23.7,57.8,Jolly and Hampton,8000,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,ECB,Parallel transects,,,,GBR,,,
2000,Jan,Atlantida*,UK,48.3,POETS-WCB JR45,2.7,35.5,Jolly and Hampton,8000,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,* my understanding that Atlantida did the WCB during the CCAMLR 2000 survey,,GBR,,,
2000,Oct,RRS James Clark Ross,UK,48.3,POETS-WCB JR54,1.6,18.3,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Reid et al. 2010*,Greene and two frequency fixed window presented in Reid et al. 2010,,GBR,,,
2001,Jan,RRS James Clark Ross,UK,48.3,POETS-WCB JR57,36.7,27.5,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,,,GBR,,,
2001,Mar,RRS James Clark Ross,UK,48.3,POETS-WCB JR60,5.7,61.4,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Reid et al. 2010*,Greene and two frequency fixed window presented in Reid et al. 2010,,GBR,,,
2001,Nov,RRS James Clark Ross,UK,48.3,POETS-WCB JR66,2.2,88.6,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Reid et al. 2010*,Greene and two frequency fixed window presented in Reid et al. 2010,,GBR,,,
2002,Jan,RRS James Clark Ross,UK,48.3,POETS-WCB  JR70,137,30.1,Jolly and Hampton,10640,EK500,120,38,dB difference (120-38),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,,,GBR,,,
2002,May,RRS James Clark Ross,UK,48.3,POETS-WCB JR72,13.6,37.8,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Reid et al. 2010*,Greene and two frequency fixed window presented in Reid et al. 2010,,GBR,,,
2002,Oct,RRS James Clark Ross,UK,48.3,POETS-WCB JR79,44.3,57.8,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Reid et al. 2010*,Greene and two frequency fixed window presented in Reid et al. 2010,,GBR,,,
2003,Feb,RRS James Clark Ross,UK,48.3,POETS-WCB JR82,84.6,57.9,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,,,GBR,,,
2003,May,RRS James Clark Ross,UK,48.3,POETS-WCB JR87,168.9,43.1,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Reid et al. 2010*,Greene and two frequency fixed window presented in Reid et al. 2010,,GBR,,,
2003,Nov,RRS James Clark Ross,UK,48.3,POETS-WCB JR92,12.9,44.4,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Reid et al. 2010*,Greene and two frequency fixed window presented in Reid et al. 2010,,GBR,,,
2004,Jan,RRS James Clark Ross,UK,48.3,POETS-WCB JR96,26.1,9.8,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,,,GBR,,,
2004,Mar,RRS James Clark Ross,UK,48.3,POETS-WCB JR100,93.2,62.1,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Reid et al. 2010*,Greene and two frequency fixed window presented in Reid et al. 2010,,GBR,,,
2004,Nov,RRS James Clark Ross,UK,48.3,POETS-WCB JR107,55.6,40.6,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Reid et al. 2010*,Greene and two frequency fixed window presented in Reid et al. 2010,,GBR,,,
2005,Jan,RRS James Clark Ross,UK,48.3,POETS-WCB JR116,89.4,60.6,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,,,GBR,,,
2005,Apr,RRS James Clark Ross,UK,48.3,POETS-WCB JR121,30.4,38.9,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Reid et al. 2010*,Greene and two frequency fixed window presented in Reid et al. 2010,,GBR,,,
2005,Nov,RRS James Clark Ross,UK,48.3,POETS-WCB JR129,67,57.4,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Reid et al. 2010*,Greene and two frequency fixed window presented in Reid et al. 2010,,GBR,,,
2005,Dec,RRS James Clark Ross,UK,48.3,POETS-WCB JR140,119.1,44.9,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,,,GBR,,,
2006,Apr,RRS James Clark Ross,UK,48.3,POETS-WCB JR146,144.4,25.6,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,,,,GBR,,,
2006,Oct,RRS James Clark Ross,UK,48.3,POETS-WCB JR159,38.7,47,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,,,,GBR,,,
2006,Dec,RRS James Clark Ross,UK,48.3,POETS-WCB JR162,61.1,26.2,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,,,GBR,,,
2007,Apr,RRS James Clark Ross,UK,48.3,POETS-WCB JR167,17.2,70,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,,,"Reid K, Watkins JA, Murphy EJ, Trathan PN, Fielding S, Enderlein P. 2010 Marine Ecology Progress Series 399: 243-252",GBR,,,
2007,Nov,RRS James Clark Ross,UK,48.3,POETS-WCB JR184,6.2,57,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,,,,GBR,,,
