Year,biot,cvto
1996,4434840,26.48
1997,14895433,36.4
1998,6928857,24.770000000000003
1999,2248769,25.766666666666666
2000,23822787,35.706
2001,1326516,40.56
2002,948849,64.2025
2003,5910783,25.063333333333333
2004,1462894,52.980000000000004
2005,2686081,63.6025
2006,3255662,46.833333333333336
2007,11042957,30.833333333333332
2008,6998139,38.8225
2009,8165732,23.2175
2010,1792741,34.1
2011,7840418,37.385
2014,981585,29.5
2015,794922,44.43000000000001
2016,1930926,29.525
2018,2592031,25.85
2019,29681529,26.456666666666667
2020,21411799,18.116666666666667
