Strata,Year,N,wtgm2,wtvardens,cv,areakm2,minarea,maxarea,strataarea,stratabiomass,cvbiomass,areaamlr,amlrbiomass,cvamlrbiomm
Joinville,2019,1,83.01,723.28,32.4,18151,18151,18151,18151,1506746,32.4,18151,1506746,32.4
Joinville,2011,1,76.7,2027.06,58.7,18156,18156,18156,18156,1392565,58.7,18151,1392182,58.7
Joinville,2010,1,17.1,102.83,59.3,18112.24,18112.24,18112.24,18112,309719,59.3,18151,310382,59.3
Joinville,2009,1,30.6,149.82,40,18153.26,18153.26,18153.26,18153,555490,40,18151,555421,40
Joinville,2008,1,68.8,191.24,20.1,18140.77,18140.77,18140.77,18141,1248085,20.1,18151,1248789,20.1
Joinville,2005,2,11.72,57.55,53.99,18247.16,18172.22,18322.1,18322,214762,64.72,18151,212756,64.72
Joinville,2004,2,3.12,3.35,78.79,17536.46,17056.53,18016.4,18016,56207,58.67,18151,56627,58.67
Joinville,2002,2,8.32,26.8,31.63,18098.1,18034.03,18162.17,18162,151074,62.24,18151,150981,62.24
Elephant,2020,1,114.93,78.93,7.73,53921,53921,53921,53921,6197141,7.73,43865,5041404,7.73
Elephant,2019,1,56.03,427.32,36.89,43865,43865,43865,43865,2457825,36.89,43865,2457825,36.89
Elephant,2011,1,84.1,390.6,23.5,43865,43865,43865,43865,3689046,23.5,43865,3689046,23.5
Elephant,2010,1,20.1,3.35,9.1,43865,43865,43865,43865,881687,9.1,43865,881687,9.1
Elephant,2009,1,117.07,350.86,16,43865,43865,43865,43865,5135276,16,43865,5135276,16
Elephant,2008,2,51.85,393.62,40.35,43865,43865,43865,43865,2274400,38.26,43865,2274400,38.26
Elephant,2007,1,103.4,1958.52,42.8,43865,43865,43865,43865,4535641,42.8,43865,4535641,42.8
Elephant,2006,1,38.6,254.14,41.3,43865,43865,43865,43865,1693189,41.3,43865,1693189,41.3
Elephant,2005,2,19.9,73.81,39.1,43865,43865,43865,43865,872913,43.17,43865,872913,43.17
Elephant,2004,2,14.05,16.88,25.15,43865,43865,43865,43865,616303,29.24,43865,616303,29.24
Elephant,2003,2,45.45,37.84,14.2,43865,43865,43865,43865,1993664,13.53,43865,1993664,13.53
Elephant,2002,2,12.8,24.57,38.35,43865,43865,43865,43865,561472,38.73,43865,561472,38.73
Elephant,2001,2,26.75,28.04,19.27,41673,41673,41673,41673,1114753,19.79,43865,1173389,19.79
Elephant,2000,1,86.4,345.07,21.5,41673,41673,41673,41673,3600547,21.5,43865,3789936,21.5
Elephant,1999,2,30.35,80.55,30.55,41673,41673,41673,41673,1264776,29.57,43865,1331303,29.57
Elephant,1998,2,62.95,118,19.05,41673,41673,41673,41673,2623315,17.26,43865,2761302,17.26
Elephant,1997,1,202.1,3602.84,29.7,48231,48231,48231,48231,9747485,29.7,43865,8865116,29.7
Elephant,1996,2,91.95,592.63,25.9,48231,48231,48231,48231,4434840,26.48,43865,4033387,26.48
Bransfield,2020,1,82.05,296.89,21,77707,77707,77707,77707,6375859,21,24479,2008502,21
Bransfield,2019,2,90.36,293.24,18.94,23447.5,22416,24479,24479,2211875,18.95,24479,2211875,18.95
Bransfield,2018,1,35.6,135.1,32.65,22416,22416,22416,22416,798010,32.65,24479,871452,32.65
